valor;descricao;local;bairro/cidade;quarto-min;quarto-max;garagem-min;garagem-max;banheiro-min;banheiro-max;area(m2)-min;area(m2)-max;iptu;condominio;novidade;suite;acabamento
300000;CASA DUPLEX VAZIA EM VILA ORGANIZADA COM PORTÃO AUTOMATIZADO, ÓTIMO AMBIENTE. 1° PAVIMENTO SALA GRANDE PARA 2 AMBIENTES, BANHEIRO SOCIAL, COZINHA, BANHEIRO DE EMPREGADA, ÁREA DE SE...;Rua Pedro Teles; Praça Seca;3;3;1;1;3;3;160;160;67;0;Nenhuma;0;0
360000;EXCELENTE CASA CENTRO DE TERRENO (11X40), TOTALMENTE LINEAR, COMPOSTA DE: AMPLA SALA EM PISO CERÂMICA, 5 BONS QUARTOS (SENDO 1 USADO COMO ESCRITÓRIO), 2 AMPLOS BANHEIROS SOCIAIS CO...;Engenheiro Leal; Rio de Janeiro;4;4;3;3;2;2;131;131;0;0;Nenhuma;0;1
250000;IMÓVEL DE PRIMEIRA LOCAÇÃO   5 MINUTOS DO WEST SHOPPING CAMPO GRANDE   CASA COM 3 QUARTOS , 1 BANHEIRO SOCIAL , 3 SUITES , SALA , COZINHA , ĢARAGEM .  VALOR SOMENTE AVISTA  250 MIL...;Campo Grande; Rio de Janeiro;3;3;1;1;4;4;130;130;0;0;Nenhuma;1;0
710000;Jacarepagua /Taquara   Rua Nacional, 143 Terraco panoramico, varanda, sala, 07 quartos, sendo 04 suites independentes, 03 banheiros, copa cozinha, 04 vagas , area de servico e depe...;Rua Nacional; Taquara;7;7;4;4;7;7;360;360;1620;0;Nenhuma;1;0
2300000;Casa em dois pavimentos com pé direito de quatro metros e meio, de esquina, na área nobre do bairro, em frente ao Hotel Santa Teresa (segurança 24 horas). Terreno plano de 447 m2 c...;Rua Constante Jardim; Santa Teresa;9;9;2;2;1;1;337;337;648;0;Nenhuma;0;0
279000;OPORTUNIDADE DE LEILÃO Judicial Data do Leilão:  Horário:  Valor inicial: 279.000,00 Valor Avaliação Edital: 557.000,00 Pagamento: à Vista Características do imóvel Imóvel Localiza...;Higienópolis; Rio de Janeiro;3;3;4;4;2;2;219;219;0;0;Nenhuma;0;0
499000;Linda Casa em Cpo Grande de 4 quartos, sendo uma suite, ampla sala, copa cozinha, área de serviço, salão de jogos com mesa de sinuca, piscina e churrasqueira, perto do novo Mercado...;Rua Antônio Dias; Campo Grande;3;3;2;2;4;4;239;239;0;0;Nenhuma;1;0
950000;Linda casa triplex em condomínio fechado, muito seguro, condomínio acessível. Área de lazer completa (piscina, churrasqueira, ducha e banheiro), dependência de empregados, salão do...;Rua Paulo Ernesto Heilborn; Taquara;5;5;2;2;5;5;360;360;3600;230;Nenhuma;0;0
2150000;A casa situada na Rua Alice em Laranjeiras é enorme e com muitas árvores, uma verdadeira floresta em meio a cidade e com privacidade total mas a poucos minutos andando da principal...;Rua Alice; Laranjeiras;6;6;2;2;6;6;1178;1178;0;0;Nenhuma;0;0
300000;Crédito imobiliário SEM JUROS para a compra de loteamento, terreno, construção, imóvel rural, sítio, chácara , Imóvel, novo, usado, na planta, residencial, comercial, galpões, sala...;Avenida das Américas; Barra da Tijuca;3;3;2;2;2;2;90;90;0;0;Nenhuma;0;0
