valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;acabamento
360000;Linda casa germinada totalmente reformada com material de primeira linha, muito ampla, próximo à feiras, mercados e à poucos da praia e do centro. Agende uma visita.;Esplanada dos Barreiros; São Vicente;2;2;2;115;184;0;Nenhuma;0;0
430000;Casa urbana localizada em Marechal Floriano/ES ESCRITURADO.  Possui 5 quartos endo um suíte, banheiro social com armários e hidromassagem, sala de estar, cozinha com armários, copa...;Centro; Marechal Floriano;5;2;3;2000;0;0;Nenhuma;1;0
400000;Excelente imóvel localizado em um ótimo condomínio fechado. O imóvel possui 03 dormitórios, sendo 01 suíte, sala, cozinha, banheiro social, varanda gourmet, área de serviço, e gara...;Jardim Estancia Brasil; Atibaia;3;2;1;92;0;0;Destaque;1;0
750000;Sobre o imóvel Sobrado duplex geminado com 190 m² de área útil distribuídos entre 03 suítes + 03 dormitórios, sala de estar e jantar, são dois ambientes, cozinha , área de serviço...;Rua Leblon; Vila Guilhermina;3;2;2;190;347;0;Super destaque;1;0
820000;Sem dúvida um amor de casa. Singela e impactante ao mesmo tempo! Rodeada de área verde, com vista e uma varanda muito convidativa para o descanso merecido. Terreno composto por cas...;Avenida Macedo Soares; Capivari;3;3;1;250;0;0;Super destaque;0;0
650000;A casa para venda de 3 quartos com suite no jardim america , Goiania de 3 quartos com suite , terreno de 275 m2 , e área construída de 140 m2 . Uma excelente localização sendo uma...;Rua C174; Jardim América;3;3;1;130;980;0;Super destaque;1;0
780000;O sobrado no bairro Vila Carlos de Campos possui 170 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros Possui espaço gourmet, balcão externo espaçoso.Espaço reservado para...;Rua Sebastião Mariano; Vila Carlos de Campos;3;4;3;170;0;0;Nenhuma;1;0
310000;Grande oportunidade  Entrada facilitada Utilize seu FGTS Imóvel acabamento fino, 3 dormitórios, 1 suite, 2 banheiros, quintal com churrasqueira, bem arejada, 3 vagas de garagem , p...;Praça Adelino Soares Ferreira; Vila Andrade;2;2;1;185;0;0;Nenhuma;1;0
450000;Excelente oportunidade na região da Cidade Júlia!    Contém 125 metros, localização privilegiada. Não perca essa oportunidade, venha conhecer.    Agende sua visita:  www.shprime.co...;Avenida Doutor Torres Neto; Cidade Júlia;3;0;2;125;0;0;Nenhuma;0;0
700000;Este anúncio é direto com o proprietário, terreno com 8x31, ampla garagem para 4 carros, laje na frente com amplo espaço, casa com 4 quartos sendo 1 suite, sala e cozinha com amplo...;Rua Capitão Rangel; Penha;4;4;3;195;3000;0;Destaque;1;0
230000;☑ APROVEITE AS CONDIÇÕES ESPECIAIS DE INÍCIO DE ANO!!! ☑  ➖ Informações 11. 9. 8983 . 5912   ✔ Entrada à partir de: R$ 23.000,00   ISSO MESMO VINTE E TRÊS MIL REAIS  ✔ PARCELAS À P...;Jundiapeba; Mogi das Cruzes;3;2;2;70;0;0;Nenhuma;0;0
450000;Utilize seu FGTS sem burocracia  Entrada Facilitada Não aceitamos Permuta  Financiamento Caixa (juros de 7,5 a 11% ao ano)   prazo 30 anos. Entrada: 20%  Carta de crédito (taxa de...;Rua Buenos Aires; Utinga;2;2;1;88;0;0;Nenhuma;0;0
370000;Casa em madeira nobre, parede tripla, muito arejada. Ótima vizinhança. Ótimo estado de conservação. toda cercada, bairro nobre. Perto da avenida principal da cidade, perto de escol...;Rua Mato Grosso; Cidade Nova;2;2;2;184;300;0;Destaque;0;0
