valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
1700000;Localizado próximo ao shopping JK em condomínio com serviços de piscina, sala de reunião, academia e espaço gourmet. Apartamento moderno com planta modificada com a junção de dois,...;Vila Olímpia; São Paulo;2;2;2;110;766;3068;Super destaque;0;1;0;0;0;0
2400000;Cód: NIAP32428. Oportunidade na General Venancio Flores. Apartamento de 120m2 com 3 quartos, sendo 1 suíte. Sala, quarto e dependencia completa e vaga. Rua muito tranquila e arbori...;Rua General Venâncio Flores; Leblon;3;1;1;120;6200;2500;Super destaque;1;0;0;0;0;0
290000;USE SEU FGTS, ENTRADA FACILITADA  Compre seu imóvel com a menor taxa do mercado 1.8% ao ano.  Abaixo algumas simulações de crédito:  CASAS DE R$ 250.000,00 Entrada: R$ 62.500,00  1...;Jardim Planalto; São Paulo;2;2;2;58;0;0;Nenhuma;0;0;0;0;0;0
320000;LOCALIZADÍSSIMO JUNTO SHOPPING IGUATEMI !!!! RUA TEODORO DA SILVA PERTO COMÉRCIO E FARTA CONDUÇÃO SHOPPING IGUATEMI. PRÉDIO ÓTIMA APRESENTAÇÃO COM PLAY SALÃO DE FESTAS CIRCUITO INT...;Rua Teodoro da Silva; Vila Isabel;2;1;2;66;822;843;Nenhuma;0;0;0;0;1;0
395000;Apartamento em Praia Grande   Vila Caiçara, excelente localização, com 2 dormitório, 1 suite, banheiro social, sala 2 ambientes com varanda gourmet, cozinha toda planejada, uma vag...;Rua Fioravante Zampol; Vila Caicara;2;1;2;89;280;465;Destaque;1;0;1;0;0;1
237077;M.Lar Jacarey   Cambeba / Fortaleza  Neste empreendimento temos outras opções de andares, blocos e configuração do apartamento.  M.Lar bem proximo ao Lago Jacarey  Um projeto criad...;Cambeba; Fortaleza;2;1;2;51;0;0;Destaque;0;0;0;0;0;0
550000;Entrada facilitada e FGTS. Apartamento no Alto da Mata de 76 metros com 2 dormitórios e 1 vaga. Virado para Alphaville, piso laminado nos quartos e sala, piso porcelanato nas áreas...;Rua Werner Goldberg; Jardim Tupanci;2;1;2;76;250;500;Nenhuma;0;0;0;1;0;0
505000;Apartamento novo no bessa, 3 quartos sendo 2 suítes, 78,45m², piscina, espaço fitness, espaço kids, recepção, salão de jogos, gerador.  Valor R$ 560.000,00 Previsão de entrega: Mar...;Rua Fernando Luiz Henriques dos Santos; Bessa;3;2;3;78;0;0;Nenhuma;1;0;0;0;1;0
2400000;Península Green II Ed. Green Garden. Deslumbrante cobertura duplex com vista para a Lagoa da Barra, 3 quartos, 203,32m², (1 suíte), 2 vagas cobertas e infraestrutura completa de la...;Avenida das Acácias da Península; Barra da Tijuca;3;2;4;203;0;0;Destaque;1;0;0;0;0;0
360000;Condomínio Ágata Ville   O apartamento moderno e funcional em todos os cômodos, está localizado no bairro Jardim Nova Europa tem 66 metros quadrados planta excelente, bem distribuí...;Praça Antônio de Paulo Souza; Jardim Nova Europa;3;1;2;66;85;335;Nenhuma;0;0;0;1;0;0
390000;Entrada facilitada e FGTS. Apartamento no Alphaview 68 metros com 3 dormitórios e 1 vaga. Box e gabinete nos banheiros,  Aquecedor de água a gás instalado. Ar condicionado na sala....;Rua Marte; Jardim Tupanci;3;1;2;68;280;440;Nenhuma;0;0;0;1;0;0
370000;O apartamento no bairro Jardim Celeste possui 54 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro Possui academia, espaço gourmet, playground, espaço para festas. Vai lhe...;Rua Alfredo Jorel; Sacomã;2;1;1;54;0;320;Nenhuma;1;1;0;1;0;0
390000;O apartamento no bairro Vila das Belezas tem 58 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros aceita financiamento bancário e pode usar o fgts como entrada ....;Rua Gregório Allegri; Vila das Belezas;2;1;2;58;12;350;Nenhuma;1;0;0;1;0;0
546000;Esta é sua grande chance! Apartamento a partir de 60m² com dois dormitórios sendo 2 suíte, varanda, cozinha e garagem. E possui uma iluminação natural incrível! Você verá o pôr do ...;Rua Nelson Studart; Engenheiro Luciano Cavalcante;2;2;2;60;0;0;Nenhuma;1;0;1;0;0;0
530000;Apartamento possui 3 dormitórios, (2 dormitórios sendo 2 suítes e o 3º foi feito um closet), cozinha americana, varanda gourmet, 1 vaga de garagem.  Obs. armários embutidos planeja...;Rua Nelson Gama de Oliveira; Vila Andrade;3;1;2;77;0;569;Destaque;1;0;1;0;0;0
460000;Apartamento 2 quartos à venda, 70 m² Icarai Apartamento com varanda , sala , 2 quartos , suíte , banheiro social , cozinha , área de serviço , dependência completa , garagem na esc...;Rua Lemos Cunha; Icaraí;2;1;3;70;2500;505;Nenhuma;1;0;1;0;0;0
500000;Pronto para morar na Vila Guarani e pertinho do Metrô: apartamento com ótima distribuição interna em 74m de área útil. Sala ensolarada em ambientes modernos com janelão, piso lamin...;Avenida Leonardo da Vinci; Vila Guarani;2;2;2;74;0;510;Nenhuma;0;0;0;0;0;0
350000;Ótimo apartamento próximo a praia do Gonzaguinha, com 2 dormitórios (1 suíte), banheiro social com armários. sala para 2 ambientes, cozinha com armários planejados novos com fogão...;Avenida Marechal Deodoro; Vila Valença;2;1;2;86;180;350;Nenhuma;1;0;0;0;0;1
262000;Apartamento à Venda, 58m² por R$ 262,000. Parque Capuava   Santo André/SP   Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a Revenda ABC!   Basta...;Parque Capuava; Santo André;2;1;2;58;0;0;Nenhuma;0;0;0;0;0;0
300000;Apartamento bem localizado, 2 dormitórios e 1 closet, 2 vagas de garagem,varanda, próximo a Avenida Imirim e Avenida Engenheiro Caetano Alvares. Região repleta de comércios, bancos...;Rua Aburá; Imirim;2;2;2;54;195;525;Nenhuma;0;0;1;0;0;0
1090000;Código 36888 O MaxHaus Berrini oferece acomodações em São Paulo, a 1 km da Ponte Estaiada. O MaxHaus Berrini dispõe de uma vista linda para a cidade e fica a 1,1 km da Sociedade Hí...;Avenida Engenheiro Luiz Carlos Berrini; Brooklin;2;2;2;70;481;855;Nenhuma;0;0;0;0;0;0
818000;Apartamento com 54m², 1 vaga, varanda, cozinha, banheiro.  Condomínio com piscina normal e aquecida, espaço gourmet, academia, quadra esportiva, playground, acessibilidade, portari...;Rua Luís Correia de Melo; Vila Cruzeiro;1;1;2;54;175;515;Nenhuma;0;1;1;0;0;0
219000;Apartamento Frente Mar Aviação/ Praia Grande Com Lazer. Lindo Apartamento na Av Castelo Branco, Frete ao Mar, Só Atravessar a Rua e Já Esta Na Areai .... Possui 1 Dormitório que fo...;Aviação; Praia Grande;1;1;1;57;225;447;Nenhuma;0;0;0;0;0;0
2800000;Duplex cobertura com sala 2 ambiente, sala de jantar, sala de som e tv, escritório, lavabo, varanda, copa cozinha planejada, despensa, lavanderia, banheiro social, banheiro com bid...;Rua Rogério Arcury; Jardim Faculdade;4;3;5;433;1400;2200;Super destaque;0;0;1;0;0;1
485000;Apartamento em andar alto, bem arejado e ensolarado, totalmente reformado com ótimo acabamento, 2 dormitórios, 2 banheiros, sala para 2 ambientes, sacada, cozinha americana, com ja...;Rua Paracatu; Saúde;2;1;2;62;25;670;Super destaque;0;0;1;0;0;0
760000;LINDO Apartamento 80 mt²   Santa Paula   Sao Caetano do Sul  2 dormitorios sendo 1 suite podendo reverter para 3 dorm Sala ampliada com VARANDA GOURMET com fechamento em vidro e CH...;Rua Rio de Janeiro; Osvaldo Cruz;3;2;2;80;934;600;Super destaque;1;0;1;0;0;0
205000;Você encontrou o imóvel dos seus sonhos em um dos melhores bairros de Praia Grande: a Tupi! A região oferece diversas opções de serviços e lazer, como supermercados, padarias, rest...;Vila Tupi; Praia Grande;1;1;1;50;200;364;Destaque;0;0;0;0;0;0
373000;O apartamento está localizado no bairro Vila das Belezas tem 55 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro Possui academia, área verde de jardim, parquinho com difer...;Rua Gregório Allegri; Vila das Belezas;2;1;1;55;3;386;Nenhuma;1;1;0;1;0;0
450000;CÓDIGO: (EXR) TR75906  Entra em contato conosco mais maiores informações sobre o apartamento e o empreendimento!  =============================  Preço/Condição REFERENTE para o mês...;Rua Pereira de Miranda; Papicu;3;2;3;147;0;0;Nenhuma;0;0;0;0;0;0
676190;Ao entrar em contato conosco, informe o código (TR65057) ao pré atendente de plantão.  Entre no nosso Site www.triunfoimoveis.com   digite o mesmo código e veja mais detalhes deste...;Rua Judite Martins; Pedras;3;2;3;90;0;0;Nenhuma;0;0;0;0;0;0
890000;Excelente imóvel possuindo 2 suítes mobiliadas com cama box de casal e armários, sala com mesa de jantar quatro cadeiras, sofá, painel com com televisão, cozinha planejada possuind...;Avenida Industrial; Jardim;2;1;3;91;47;618;Nenhuma;1;0;0;0;0;1
238900;  GREEN PARK   RESIDENCIAL E COMERCIAL    *Cotas de participação a preço de custo   2 e 3 dormitórios de 59 a 84 m²   Opções de coberturas e unidades com quintal     Todas unidades...;Rua Anápolis; Parque Industrial;2;1;2;59;0;300;Nenhuma;0;0;0;0;0;0
360000;Anderson Martins vende na 1 quadra do mar de Itaparica Apartamento com 2 quartos, excelente localização, pronto para morar, montado com armários, fechamento de varanda, prédio com...;Rodovia do Sol; Praia de Itaparica;2;1;2;84;0;0;Nenhuma;0;0;1;0;0;0
750000;Lindo apartamento na Mooca com 71m²   2 dormitórios sendo 1 suíte   Varanda gourmet   Sala   Cozinha   Área de serviço   1 Vaga de garagem   Lazer completo Brinquedoteca Churrasque...;Rua Serra da Bocaina; Móoca;2;1;2;71;198;500;Nenhuma;1;0;1;0;0;0
595000;VISTA PARA O MAR, NO CORAÇÃO DE CAPÃO DA CANOA, MOBILIADO E DECORADO COM MAIS DE 100m2!! Apartamento localizado no Centro de Capão da Canoa, composto por 2 dormitórios sendo 1 suit...;Rua Marabá; Centro;2;1;2;86;1600;380;Destaque;0;0;0;0;0;0
650000;Exelente apartamento em andar alto,vista livre!!Localização privilegiada,próximo ao metrô e comércio em geral!! Possui área de fitness, espaço gourmet, espaço jardinado, parquinho...;Rua Fernandes Pinheiro; Tatuapé;2;0;2;67;250;700;Super destaque;0;0;0;0;0;0
200000;O apartamento está localizado no bairro Novo Horizonte com 60 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, parquinho com difer...;Rua Adão Medeiros Soares; Novo Horizonte;3;1;2;60;0;0;Nenhuma;1;0;0;1;0;0
190007;L004 contato whatsapp (9.8.)9..3.4.4.7.  Chegou o mais novo queridinho da @canopusconstrucoes o Gran Village Araçagi IV. Empreendimento sofisticado e na região onde mais cresce em...;Araçagy; São José de Ribamar;2;1;2;57;0;0;Nenhuma;0;0;0;0;0;0
380000;Excelente apartamento de 3 quartos na Praia das Gaivotas, 1 suíte e 1 banheiro social   já com armários, piso laminado, recém pintado, rebaixamento de gesso, andar alto, sol da man...;Rua Orminda Machado Duarte; Praia das Gaivotas;3;1;2;80;0;320;Nenhuma;1;0;0;0;0;0
550000;Apartamento   Bosque dos Eucaliptos   3 Dormitórios   105m²   3 Dormitórios, sendo uma suíte com closet   Sala ampla para dois ambientes   Cozinha com despensa   1 Banheiro social...;Bosque dos Eucaliptos; São José dos Campos;3;2;2;105;0;650;Nenhuma;1;0;0;0;0;0
351529;Edf. Morada António De Castro ,  empreendimento muito bem localizado próximo a tudo que atende a sua necessidade , com estrutura de aréa de lazer completa , todo conforto que sua f...;Casa Amarela; Recife;2;1;3;58;0;584;Nenhuma;0;0;0;0;0;0
570000;CÓDIGO: (EXR) TR70823  Entra em contato conosco mais maiores informações sobre o apartamento e o empreendimento!  =============================  Preço/Condição REFERENTE para o mês...;Rua Doutor José Lino; Mucuripe;3;2;2;106;0;0;Nenhuma;0;0;0;0;0;0
370000;Apartamento reformado, 2 dormitórios, sendo os 2 suítes, todos com armários, cama de casal na suíte principal, sala 2 ambientes com painel e sofá, cozinha planejada completa, área...;Rua German Burmeinster; Vila Nova Mazzei;2;1;3;75;0;600;Nenhuma;1;0;0;0;0;1
430000;O apartamento está localizado no bairro de Bento Ferreira, tem 65 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros;Rua Chafic Murad; Monte Belo;2;1;2;65;780;430;Nenhuma;1;0;0;1;0;0
265000;R$265.000,00  02 quartos s/ 01 suite,01 vaga de garagem Apartamento no centro de Camboriú! Sendo ambos com área de serviço integrada,  sacada com churrasqueira, pisos em porcelanat...;Rua Saul Dalago; Lidia Duarte;2;1;2;65;0;0;Nenhuma;1;0;1;0;0;0
