objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1290768,162487,RUA ATHILIO BRUM,144,Campo Grande,16,TERRITORIAL,90.625,371.8125,72409.464375,79994.63,COMPRA E VENDA,2023
1290769,185215,RUA PROJ A PAL 40213,144,Campo Grande,2,TERRITORIAL,100,345,79173.46,79173.46,COMPRA E VENDA,2023
1290770,197806,RUA PEDRO CORBECEIRI,144,Campo Grande,2,TERRITORIAL,100,225,58666.62,58666.62,COMPRA E VENDA,2023
1290771,197988,RUA RUBENS FIRMO SANTOS,144,Campo Grande,2,TERRITORIAL,100,226,58455.2,58455.2,COMPRA E VENDA,2023
1290772,212241,RUA DENER (JOG FUTEBOL),144,Campo Grande,2,TERRITORIAL,100,145,41859.42,41859.42,COMPRA E VENDA,2023
1290773,228023,RUA 3 PAA 12034/PAL 46683,144,Campo Grande,2,TERRITORIAL,100,685,141196.17,141196.17,COMPRA E VENDA,2023
1290774,228429,RUA 6 PAA 11519/PAL 44874,144,Campo Grande,7,TERRITORIAL,100,205.571428,66574.984285,66574.984285,COMPRA E VENDA,2023
1290775,228445,RUA 8 PAA 11519/PAL 44874,144,Campo Grande,2,TERRITORIAL,100,156,47567.54,47567.54,COMPRA E VENDA,2023
1290776,239244,RUA PICINGUABA,144,Campo Grande,7,TERRITORIAL,100,205,45812.222857,45812.222857,COMPRA E VENDA,2023
1290777,474551,RUA MARLY BUENO (ATRIZ),144,Campo Grande,3,TERRITORIAL,100,141,38279.536666,38279.536666,COMPRA E VENDA,2023
1290778,111310,RUA JURIPIRANGA,147,Cosmos                    ,2,TERRITORIAL,100,300,49334.295,49334.295,COMPRA E VENDA,2023
1290779,000950,RUA B-3 PAL 19600,151,Guaratiba                 ,3,TERRITORIAL,100,360,63813.62,63813.62,COMPRA E VENDA,2023
1290780,005223,RUA CEL JAIME DE LEMOS,151,Guaratiba                 ,3,TERRITORIAL,100,3000,299163.18,299163.18,COMPRA E VENDA,2023
1290781,040238,ETR DAS TACHAS,151,Guaratiba                 ,3,TERRITORIAL,50.626666,21034.666666,555585.253333,1505959.58,COMPRA E VENDA,2023
1290782,125765,RUA 40 PAA 6172/PAL 18529,151,Guaratiba                 ,6,TERRITORIAL,100,300,39029.74,39029.74,COMPRA E VENDA,2023
1290783,125773,RUA LUIZ BRUNINI (RADIALISTA),151,Guaratiba                 ,7,TERRITORIAL,100,312.857142,41733.937142,41733.937142,COMPRA E VENDA,2023
1290784,125526,RUA SOLD ALMANDIO GOERING,153,Pedra de Guaratiba        ,2,TERRITORIAL,100,360,77155.64,77155.64,COMPRA E VENDA,2023
1290785,073353,RUA HADDOCK LOBO,009,Estácio                   ,2,TERRITORIAL,1.5,3122,18562.51,1237500.75,COMPRA E VENDA,2024
1290786,081265,RUA SAO MANOEL,020,Botafogo                  ,2,TERRITORIAL,7.875,312.5,262203.92,3188611.725,COMPRA E VENDA,2024
1290787,075580,RUA LUIZ CAMARA,041,Ramos                     ,2,TERRITORIAL,100,5043,1152900.225,1152900.225,COMPRA E VENDA,2024
1290788,065011,RUA AMERICANA,065,Cachambi                  ,4,TERRITORIAL,75,480,167657.95,221711.94,COMPRA E VENDA,2024
1290789,022590,RUA FIRMINO FRAGOSO,083,Madureira                 ,2,TERRITORIAL,100,638,763776.01,763776.01,COMPRA E VENDA,2024
